25-Nov,@asyncapi/modelina-cli@v5.10.2,@asyncapi,modelina-cli,v5.10.2,NEW FINDING
25-Nov,@asyncapi/modelina-cli@v5.10.3,@asyncapi,modelina-cli,v5.10.3,NEW FINDING
25-Nov,@asyncapi/multi-parser@v2.2.1,@asyncapi,multi-parser,v2.2.1,NEW FINDING
25-Nov,@asyncapi/multi-parser@v2.2.2,@asyncapi,multi-parser,v2.2.2,NEW FINDING
25-Nov,@asyncapi/nodejs-template@v3.0.5,@asyncapi,nodejs-template,v3.0.5,NEW FINDING
25-Nov,@asyncapi/nodejs-template@v3.0.6,@asyncapi,nodejs-template,v3.0.6,NEW FINDING
25-Nov,@asyncapi/nodejs-ws-template@v0.10.1,@asyncapi,nodejs-ws-template,v0.10.1,NEW FINDING
25-Nov,@asyncapi/nodejs-ws-template@v0.10.2,@asyncapi,nodejs-ws-template,v0.10.2,NEW FINDING
25-Nov,@asyncapi/nunjucks-filters@v2.1.1,@asyncapi,nunjucks-filters,v2.1.1,NEW FINDING
25-Nov,@asyncapi/nunjucks-filters@v2.1.2,@asyncapi,nunjucks-filters,v2.1.2,NEW FINDING
25-Nov,@asyncapi/openapi-schema-parser@v3.0.25,@asyncapi,openapi-schema-parser,v3.0.25,NEW FINDING
25-Nov,@asyncapi/openapi-schema-parser@v3.0.26,@asyncapi,openapi-schema-parser,v3.0.26,NEW FINDING
25-Nov,@asyncapi/optimizer@v1.0.5,@asyncapi,optimizer,v1.0.5,NEW FINDING
25-Nov,@asyncapi/optimizer@v1.0.6,@asyncapi,optimizer,v1.0.6,NEW FINDING
25-Nov,@asyncapi/parser@v3.4.1,@asyncapi,parser,v3.4.1,NEW FINDING
25-Nov,@asyncapi/parser@v3.4.2,@asyncapi,parser,v3.4.2,NEW FINDING
25-Nov,@asyncapi/php-template@v0.1.1,@asyncapi,php-template,v0.1.1,NEW FINDING
25-Nov,@asyncapi/php-template@v0.1.2,@asyncapi,php-template,v0.1.2,NEW FINDING
25-Nov,@asyncapi/problem@v1.0.1,@asyncapi,problem,v1.0.1,NEW FINDING
25-Nov,@asyncapi/problem@v1.0.2,@asyncapi,problem,v1.0.2,NEW FINDING
25-Nov,@asyncapi/protobuf-schema-parser@v3.5.3,@asyncapi,protobuf-schema-parser,v3.5.3,NEW FINDING
25-Nov,@asyncapi/python-paho-template@v0.2.14,@asyncapi,python-paho-template,v0.2.14,NEW FINDING
25-Nov,@asyncapi/python-paho-template@v0.2.15,@asyncapi,python-paho-template,v0.2.15,NEW FINDING
25-Nov,@asyncapi/react-component@v2.6.6,@asyncapi,react-component,v2.6.6,NEW FINDING
25-Nov,@asyncapi/react-component@v2.6.7,@asyncapi,react-component,v2.6.7,NEW FINDING
25-Nov,@asyncapi/server-api@v0.16.24,@asyncapi,server-api,v0.16.24,NEW FINDING
25-Nov,@asyncapi/server-api@v0.16.25,@asyncapi,server-api,v0.16.25,NEW FINDING
25-Nov,@asyncapi/specs@v6.8.3,@asyncapi,specs,v6.8.3,NEW FINDING
25-Nov,@asyncapi/studio@v1.0.2,@asyncapi,studio,v1.0.2,NEW FINDING
25-Nov,@asyncapi/studio@v1.0.3,@asyncapi,studio,v1.0.3,NEW FINDING
